artist_name,book_name,profile_url,publisher_name,publisher_profile_url
Jack Lueders-Booth,American Motorcycling Culture,https://photobookers.com/creators/jack-lueders-booth,Stanley / Barker,https://photobookers.com/creators/stanley--barker
Jake Nemirovsky,Big Bug,https://photobookers.com/creators/jake-nemirovsky,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
Jakob De Boer,Where Ravens Cry,https://photobookers.com/creators/jakob-de-boer,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
James Parker,Up Here I Am Weightless,https://photobookers.com/creators/james-parker,Subjectively Objective,https://photobookers.com/creators/subjectively-objective
Jamie Murray,Folly,https://photobookers.com/creators/jamie-murray,Photo Editions,https://photobookers.com/creators/photo-editions
Jan Staiger & Malte Uchtmann,The Perfect Crime: Concerning the Murder of Reality,https://photobookers.com/creators/jan-staiger--malte-uchtmann,Kult Books,https://photobookers.com/creators/kult
Janet Delaney,Too Many Products Too Much Pressure,https://photobookers.com/creators/janet-delaney,Deadbeat Club Press,https://photobookers.com/creators/deadbeat-club-press
Janine Wiedel,St Agnes Place Squat,https://photobookers.com/creators/janine-wiedel,RRB Photobooks,https://photobookers.com/creators/rrb-photobooks
Jason Hendardy,This is a Test,https://photobookers.com/creators/jason-hendardy,Gnomic Book,https://photobookers.com/creators/gnomic-book
Jason Koxvold,Engage and Destroy,https://photobookers.com/creators/jason-koxvold,Gnomic Book,https://photobookers.com/creators/gnomic-book
Jean-Christophe Arcos,Something Vibrantly Alive,https://photobookers.com/creators/jean-christophe-arcos,Poursuite Editions,https://photobookers.com/creators/poursuite-editions
Jeff Dworsky,Sealskin,https://photobookers.com/creators/jeff-dworsky,Charcoal Press,https://photobookers.com/creators/charcoal-press
Jeff Rich,WATERSHED | THE TENNESSEE RIVER,https://photobookers.com/creators/jeff-rich,Fall Line Press,https://photobookers.com/creators/fall-line-press
Jeffrey Conley,Reverence,https://photobookers.com/creators/jeffrey-conley,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Jem Southam,Red River,https://photobookers.com/creators/jem-southam,RRB Photobooks,https://photobookers.com/creators/rrb-photobooks
Jenia Fridlyand,Entrance to Our Valley,https://photobookers.com/creators/jenia-fridlyand,TIS Books,https://photobookers.com/creators/tis-books
Jenni Toivonen,Are We There,https://photobookers.com/creators/jenni-toivonen,Kult Books,https://photobookers.com/creators/kult
Jens Olof Lasthein,Weltschmerz,https://photobookers.com/creators/jens-olof-lasthein,Kult Books,https://photobookers.com/creators/kult
Jeremy Elkin,Upmost for the Highest,https://photobookers.com/creators/jeremy-elkin,Super Labo,https://photobookers.com/creators/super-labo
Jesse Lenz,The Seraphim,https://photobookers.com/creators/jesse-lenz,Charcoal Press,https://photobookers.com/creators/charcoal-press
Jim Goldberg,Thirty Cuts,https://photobookers.com/creators/jim-goldberg,Super Labo,https://photobookers.com/creators/super-labo
Johanna Kotlaris,Jessica Jessica Jessica,https://photobookers.com/creators/johanna-kotlaris,Jungle Books,https://photobookers.com/creators/jungle-books
Johanna Tagada Hoffbeck,Work the Soul Must Have,https://photobookers.com/creators/johanna-tagada-hoffbeck,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
John Coffey,PHILADELPHIA SCOOL OF MUSIC & ART,https://photobookers.com/creators/john-coffey,Super Labo,https://photobookers.com/creators/super-labo
John Divola,Dogs Chasing My Car in the Desert,https://photobookers.com/creators/john-divola,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
